path,category,scope,kind,size_bytes,pages,definition
docs_specific/cegos_comexa_2026/comexa_cas_mp_2026-04-24.pdf,cegos_comexa_specific,specific_company,pdf,156763,10,"Cas, objectifs et attentes COMEXA pour la formation."
docs_specific/cegos_comexa_2026/comexa_points_plus_2026-04-24.pdf,cegos_comexa_specific,specific_company,pdf,3719195,104,Points pratiques COMEXA et visions process.
docs_specific/cegos_comexa_2026/source_cegos_comexa_2026-04-24.zip,cegos_comexa_specific,specific_company,zip,12723876,,Archive source Cegos/COMEXA conservee pour tracabilite.
docs_tech/OFFICIAL_EXAMPLES_LINKS.md,technical,generic_official,md,2806,,"Index local des liens officiels techniques, normes, plateformes et exemples."
docs_tech/TECHNICAL_REFERENCE.md,technical,generic_official,md,2094,,"Reference technique locale et points d entree vers specs, annexes et formats."
docs_tech/afnor/README.md,afnor,generic_normative,md,1447,,Inventaire du dossier AFNOR generique/officiel.
docs_tech/afnor/afnor_xp_z12_012_2025.pdf,afnor,generic_normative,pdf,1625727,59,"Norme XP Z12-012, formats, profils et statuts de cycle de vie."
docs_tech/afnor/afnor_xp_z12_012_formats_profils_factures_statuts.pdf,afnor,generic_normative,pdf,1621726,59,Copie AFNOR XP Z12-012 extraite de l archive Cegos/COMEXA; doublon fonctionnel conserve pour tracabilite.
docs_tech/afnor/afnor_xp_z12_013_api_plateformes_dematerialisation.pdf,afnor,generic_normative,pdf,819670,19,Norme XP Z12-013 sur les API entre SI entreprises et plateformes de dematerialisation.
docs_tech/afnor/afnor_xp_z12_014_annexe_a_cas_usage_b2b.pdf,afnor,generic_normative,pdf,2682103,108,Annexe A normative XP Z12-014 decrivant les principaux cas d usage B2B specifiques.
docs_tech/afnor/afnor_xp_z12_014_cas_usage_b2b.pdf,afnor,generic_normative,pdf,906727,32,Norme XP Z12-014 sur les cas d usage B2B de la reforme.
docs_tech/donnees_facture_correspondance_flux.pdf,technical,generic_official,pdf,55460,2,Table de donnees de facture et correspondance flux/BT.
docs_tech/e_reporting_donnees_paiement.pdf,technical,generic_official,pdf,48039,2,Donnees de paiement a transmettre en e-reporting.
docs_tech/e_reporting_donnees_transaction.pdf,technical,generic_official,pdf,59994,3,Donnees de transaction a transmettre en e-reporting.
docs_tech/e_reporting_frequences_delais.pdf,technical,generic_official,pdf,19487,1,Frequences et delais de transmission e-reporting.
docs_tech/e_reporting_operations_champ.pdf,technical,generic_official,pdf,93088,1,Champ des operations concernees par l e-reporting.
docs_tech/faq_japprofondis.pdf,technical,generic_official,pdf,112408,8,FAQ officielle avancee sur la reforme.
docs_tech/specifications_externes_v3_1_link.md,technical,generic_official,md,823,,Pointeur vers l archive officielle des specifications externes v3.1.
docs_tpe/fiche_0_preambule_tpe_pme.pdf,tpe_pme,generic_official,pdf,71414,4,Fiche pedagogique TPE/PME officielle.
docs_tpe/fiche_10_facturation_entites_publiques.pdf,tpe_pme,generic_official,pdf,38931,1,Fiche pedagogique TPE/PME officielle.
docs_tpe/fiche_1_que_va_t_il_se_passer.pdf,tpe_pme,generic_official,pdf,68475,3,Fiche pedagogique TPE/PME officielle.
docs_tpe/fiche_2_obligation_facturation_electronique.pdf,tpe_pme,generic_official,pdf,62451,3,Fiche pedagogique TPE/PME officielle.
docs_tpe/fiche_3_a_partir_de_quand.pdf,tpe_pme,generic_official,pdf,52518,2,Fiche pedagogique TPE/PME officielle.
docs_tpe/fiche_4_premieres_etapes.pdf,tpe_pme,generic_official,pdf,138518,2,Fiche pedagogique TPE/PME officielle.
docs_tpe/fiche_5_documentation_disponible.pdf,tpe_pme,generic_official,pdf,41594,1,Fiche pedagogique TPE/PME officielle.
docs_tpe/fiche_6_reception_factures.pdf,tpe_pme,generic_official,pdf,128706,2,Fiche pedagogique TPE/PME officielle.
docs_tpe/fiche_7_e_reporting_transactions.pdf,tpe_pme,generic_official,pdf,48579,2,Fiche pedagogique TPE/PME officielle.
docs_tpe/fiche_8_e_reporting_paiements.pdf,tpe_pme,generic_official,pdf,55244,2,Fiche pedagogique TPE/PME officielle.
docs_tpe/fiche_9_equipement_logiciel.pdf,tpe_pme,generic_official,pdf,83746,1,Fiche pedagogique TPE/PME officielle.
juridique/01_SOCLE_REGLEMENTAIRE.md,legal,generic_local_synthesis,md,1095,,Synthese juridique locale.
metier/01_METIER_SCOPE_ET_IMPACTS.md,business,generic_local_synthesis,md,1541,,Synthese metier locale.
notes/inventory.csv,catalog_index,index_catalog,csv,2807,,"Inventaire, catalogue ou index de liens locaux."
notes/official_artifacts_manifest_v3.csv,catalog_index,index_catalog,csv,1325,,"Inventaire, catalogue ou index de liens locaux."
notes/official_links.csv,catalog_index,index_catalog,csv,6498,,"Inventaire, catalogue ou index de liens locaux."
src/data/cases.js,app_data,generic_use_cases,js,27344,,Referentiel generique des cartes de cas d usage affichees dans l application.
src/data/companyContext.js,app_data,specific_company,js,19009,,Cas applicables au contexte entreprise et attentes de formation; contenu specifique contexte.
technique/01_FORMATS_ZIPS_XML_EXEMPLES.md,technical_notes,generic_local_synthesis,md,1258,,Note technique locale et chemin de lecture.
technique/d365_fo/03_D365_FO_OUTILS_ET_CHEMINS.md,technical_notes,generic_local_synthesis,md,1897,,Note technique locale et chemin de lecture.
technique/formats/02_OFFICIAL_ARCHIVES_AND_POINTERS.md,technical_notes,generic_local_synthesis,md,1000,,Note technique locale et chemin de lecture.
technique/formats/03_FORMATS_AND_STATIC_EXAMPLES_NOTES.md,technical_notes,generic_local_synthesis,md,879,,Note technique locale et chemin de lecture.
technique/github/04_GITHUB_UTILES.md,technical_notes,generic_local_synthesis,md,1040,,Note technique locale et chemin de lecture.
technique/pdp/02_PDP_SCOPE_OFFICIEL_ET_LISTE.md,technical_notes,generic_local_synthesis,md,1578,,Note technique locale et chemin de lecture.
technique/videos/05_VIDEOS_OFFICIELLES.md,technical_notes,generic_local_synthesis,md,705,,Note technique locale et chemin de lecture.
wiki/00_query_hub.md,wiki,generic_local_synthesis,md,1258,,Page wiki locale de synthese et navigation.
wiki/01_synthese_executive.md,wiki,generic_local_synthesis,md,1440,,Page wiki locale de synthese et navigation.
wiki/02_carte_technique.md,wiki,generic_local_synthesis,md,1719,,Page wiki locale de synthese et navigation.
wiki/03_sources_officielles_et_liens.md,wiki,generic_local_synthesis,md,2538,,Page wiki locale de synthese et navigation.
wiki/04_journal_evolutions_et_points_ouverts.md,wiki,generic_local_synthesis,md,1434,,Page wiki locale de synthese et navigation.
wiki/05_MTJ_MAP.md,wiki,generic_local_synthesis,md,587,,Page wiki locale de synthese et navigation.
